ID,Nombre,Mitologia,Tipo,Era,Coste,Fuerza,Poder,Claves,Texto - Habilidades,Leyenda,URL-IMG,URL-IMG-BACK
0019,Midori,Japonesa,Personaje,Era I,0,0,2,Invocadora · Ashigaru,,,GDM/Japoneses/Midori.png,
0020,Karasu Tengu,Japonesa,Personaje,Era I,3,1,5,Demonio,INFLUENCIA: Elimina 1P de Karasu Tengu; elimina 1P de la reserva de su oponente.,,GDM/Japoneses/Karasu Tengu.png,
0021,Yama-uba,Japonesa,Personaje,Era I,3,1,4,Demonio · Invocadora · Única,INFLUENCIA: Elimina 2P de tu personaje; gana 2P.,,GDM/Japoneses/Yama-uba.png,
0022,Asgard,Nórdica,Panteón,Era I,,,18,,INFLUENCIA: Gana 2P en tu personaje nórdico en un oráculo.,,GDM/Nordicos/Asgard.png,
0023,Niflheim,Nórdica,Panteón,Era I,,,19,,INFLUENCIA: Da +1F a tus guerreros nórdicos.,,GDM/Nordicos/Niflheim.png,
0024,Odín,Nórdica,Personaje,Era I,8,5,9,Dios · Guerrero · Invocador,INFLUENCIA: Prepara a tu personaje Nórdico.,,GDM/Nordicos/Odín.png,
0025,Thor,Nórdica,Personaje,Era I,7,4,9,Dios · Guerrero · Trueno,"INFLUENCIA: Cansa Thor; busca ""Mjolnir"" en el mazo de designios y equípaselo. ENFRENTAMIENTO: Cansa a un personaje enemigo.",,GDM/Nordicos/Thor.png,
0026,Loki,Nórdica,Personaje,Era I,7,4,9,Dios,ENFRENTAMIENTO: Si Loki está en tu panteón; muévelo al campo de batalla.,,GDM/Nordicos/Loki.png,
0027,Tyr,Nórdica,Personaje,Era I,6,3,8,Dios · Guerrero,ENFRENTAMIENTO: Da +1F a cada uno de tus guerreros.,,GDM/Nordicos/Tyr.png,
0028,Hela,Nórdica,Personaje,Era I,5,2,7,Diosa · Demonio · invocadora,INFLUENCIA: Elimina 2P de Hela; mueve a tu personaje mortal de tu descarte a tu panteón.,,GDM/Nordicos/Hela.png,
0029,Dvrger,Nórdica,Personaje,Era I,4,2,4,Guerrero · Dvärgar,Dvrguer no puede ser movido del campo de batalla.,,GDM/Nordicos/Dvrger.png,
0030,Eir,Nórdica,Personaje,Era I,4,1,6,Diosa · Invocadora · Valkiria,INFLUENCIA: Gana 1P en tu personaje.,,GDM/Nordicos/Eir.png,
0031,Ymir,Nórdica,Personaje,Era I,4,2,4,Jotun · Demonio,ENFRENTAMIENTO: Cansa a un enemigo.,,GDM/Nordicos/Ymir.png,
0032,Sigrun,Nórdica,Personaje,Era I,3,1,5,Guerrera · Valkiria,ENFRENTAMIENTO: Destruye a un mortal agotado.,,GDM/Nordicos/Sigrun.png,
0033,Baldr,Nórdica,Personaje,Era I,4,3,6,Dios · Guerrero,ENFRENTAMIENTO: Elimina 1P de Baldr; mueve a tu personaje al campo de batalla.,,GDM/Nordicos/Baldr.png,
0034,Fenrir,Nórdica,Personaje,Era I,3,3,5,Criatura,No puede equiparse armas.,,GDM/Nordicos/Fenrir.png,
0035,Daínn,Nórdica,Personaje,Era I,3,1,3,Svartálfar,INFLUENCIA: Prepara a Daínn (Puede usarse si esta cansado).,,GDM/Nordicos/Daínn.png,
0036,Surtur,Nórdica,Personaje,Era I,4,2,6,Gigante,INFLUENCIA: Elimina 1P en un personaje enemigo.,,GDM/Nordicos/Surtur.png,
0037,Frigg,Nórdica,Personaje,Era I,3,1,5,Diosa · Invocadora · Vidente,INFLUENCIA: Mira la primera carta de tu mazo de designios; puedes ponerla debajo del mazo.,,GDM/Nordicos/Frigg.png,
0038,Groa,Nórdica,Personaje,Era I,0,0,2,Invocadora · Volva,,,GDM/Nordicos/Groa.png,
0039,Harald,Nórdica,Personaje,Era I,1,1,3,Berserker · Guerrero,,,GDM/Nordicos/Harald.png,
0040,Heimdall,Nórdica,Personaje,Era I,6,3,7,Dios · Guardián,ENFRENTAMIENTO: Elimina 2P de Heimdall; gana 3P.,,GDM/Nordicos/Heimdall.png,
0041,Thorey,Nórdica,Personaje,Era I,4,1,6,Valkiria · Guerrera,"INFLUENCIA: Da +1F a todos tus personajes con la clave ""valkiria"".",,GDM/Nordicos/Thorey.png,
0042,Olimpo,Griega,Panteón,Era I,,,18,,ENFRENTAMIENTO: Gana 1P en uno de tus personajes griegos y dale +1F.,,GDM/Griegos/Olimpo.png,GDM/Traseras/TraseraAzul.png
0043,Atlántida,Griega,Panteón,Era I,,,22,,Al final de la fase de reorganización elimina 1P de tu reserva. INFLUENCIA: Da +1F a tus armas equipadas.,,GDM/Griegos/Atlántida.png,GDM/Traseras/TraseraAzul.png
0044,Zeus,Griega,Personaje,Era I,8,5,9,Dios · Invocador · Trueno,INFLUENCIA: Cansa a un personaje enemigo.,,GDM/Griegos/Zeus.png,GDM/Traseras/TraseraMarron.png
0045,Hades,Griega,Personaje,Era I,6,4,8,Dios · Demonio · Invocador,INFLUENCIA: Elimina 1P de Hades; crea un espíritu (personaje 1F/2PM) y gana 1P en él.,,GDM/Griegos/Hades.png,GDM/Traseras/TraseraMarron.png
0046,Ares,Griega,Personaje,Era I,4,3,6,Dios · Guerrero,"INFLUENCIA: Da la clave ""Guerrero"" o ""Heroe"" a uno de tus personajes. Si es griego la clave es permanente.",,GDM/Griegos/Ares.png,GDM/Traseras/TraseraMarron.png
0047,Poseidón,Griega,Personaje,Era I,7,4,9,Dios · Agua,INFLUENCIA: Cansa a Poseidón; busca El Tridente en el mazo de designios. ENFRENTAMIENTO: Elimina 1P de un personaje enemigo.,,GDM/Griegos/Poseidón.png,GDM/Traseras/TraseraMarron.png
0048,Eros,Griega,Personaje,Era I,4,1,6,Dios,INFLUENCIA: Elimina 1P de un personaje enemigo.,,GDM/Griegos/Eros.png,GDM/Traseras/TraseraMarron.png
0049,Minotauro,Griega,Personaje,Era I,4,2,4,Criatura,ENFRENTAMIENTO: Da -1F a dos personajes enemigos.,,GDM/Griegos/Minotauro.png,GDM/Traseras/TraseraMarron.png
0050,Puk,Griega,Personaje,Era I,5,0,5,Único · Sátiro,ENFRENTAMIENTO: Elimina 1P de Puk; toma el control sobre un personaje enemigo hasta que juegues tu siguiente acción o devuélvero antes de la resolución del enfrentamiento.,,GDM/Griegos/Puk.png,GDM/Traseras/TraseraMarron.png
0051,Quirón,Griega,Personaje,Era I,3,1,5,Único · Sátiro,"INFLUENCIA: Da +1F a tus personajes con la clave ""Héroe"".",,GDM/Griegos/Quirón.png,GDM/Traseras/TraseraMarron.png
0052,Dionisio,Griega,Personaje,Era I,6,3,7,Dios · Vino,INFLUENCIA: Gana 2P en tu personaje mortal.,,GDM/Griegos/Dionisio.png,GDM/Traseras/TraseraMarron.png
0053,Ulises,Griega,Personaje,Era I,4,2,5,Héroe · Guerrero,ENFRENTAMIENTO: Cansa a Ulises; mueve a tu personaje del panteón al campo de batalla.,,GDM/Griegos/Ulises.png,GDM/Traseras/TraseraMarron.png
0054,Apolo,Griega,Personaje,Era I,6,3,8,Dios · Sol · Guerrero,ENFRENTAMIENTO: Da +1F a todos tus guerreros.,,GDM/Griegos/Apolo.png,GDM/Traseras/TraseraMarron.png
0055,Perseo,Griega,Personaje,Era I,4,2,6,Héroe · Guerrero,ENFRENTAMIENTO: Elimina 1P de un personaje enemigo.,,GDM/Griegos/Perseo.png,GDM/Traseras/TraseraMarron.png
0056,Atenea,Griega,Personaje,Era I,4,0,5,Diosa · Invocadora,INFLUENCIA: Da +1F permanente a tu personaje griego.,,GDM/Griegos/Atenea.png,GDM/Traseras/TraseraMarron.png
0057,Hefesto,Griega,Personaje,Era I,7,3,9,Dios · Guerrero,INFLUENCIA: Crea un arma +1F/+1PM y equípasela a tu personaje griego. INFLUENCIA: Gana 1P en una Herreria en tu oráculo.,,GDM/Griegos/Hefesto.png,GDM/Traseras/TraseraMarron.png
0058,Heracles,Griega,Personaje,Era I,1,1,3,Héroe · Guerrero,,,GDM/Griegos/Heracles.png,GDM/Traseras/TraseraMarron.png
0059,Pitia,Griega,Personaje,Era I,0,0,2,Invocadora,,,GDM/Griegos/Pitia.png,GDM/Traseras/TraseraMarron.png
0060,Teseo,Griega,Personaje,Era I,3,1,3,Héroe · Guerrero,ENFRENTAMIENTO: Elimina bonos y penalizadores de fuerza de un personaje.,,GDM/Griegos/Teseo.png,GDM/Traseras/TraseraMarron.png
0061,Mitclan,Azteca,Panteón,Era I,,,20,,INFLUENCIA: Elimina la habilidad del panteón de un contrario.,,GDM/Aztecas/Mitclan.png,
0062,Tlálocan,Azteca,Panteón,Era I,,,18,,INFLUENCIA: Elimina 2P de tu personaje azteca gana 2P.,,GDM/Aztecas/Tlálocan.png,
0063,Tezcalipoca,Azteca,Personaje,Era I,3,1,4,Demonio · Invocador · Único,INFLUENCIA: Crea un nuevo oráculo con tu personaje descartado.,,GDM/Aztecas/Tezcalipoca.png,
0064,Chicomecoatl,Azteca,Personaje,Era I,4,2,6,Diosa,"ENFRENTAMIENTO: Cansa a Chicomecoatl, el oponente elimina 1P por cada acción de enfrentamiento que realice hasta el final de este enfrentamiento.",,GDM/Aztecas/Chicomecoatl.png,
0065,Arvad,Azteca,Personaje,Era I,2,4,2,Criatura,"Si es el único personaje en su ejército, tiene fuerza 0.",,GDM/Aztecas/Arvad.png,
0066,Mictlantecuhtli,Azteca,Personaje,Era I,5,3,7,Demonio · Único,ENFRENTAMIENTO: Destruye un mortal eliminando tanto poder como su poder actual.,,GDM/Aztecas/Mictlantecuhtli.png,
0067,Huitzilopochtli,Azteca,Personaje,Era I,7,4,9,Dios · Guerrero,INFLUENCIA: Copia la habilidad de cualquier personaje hasta final de turno.,,GDM/Aztecas/Huitzilopochtli.png,
0068,Chalchiuhtlicue,Azteca,Personaje,Era I,7,4,9,Diosa · Agua · Invocadora,INFLUENCIA: Elimina 2P de Chalchiuhtkicue; elige un personaje enemigo que no puede asignarse este turno.,,GDM/Aztecas/Chalchiuhtlicue.png,
0069,Coatlicue,Azteca,Personaje,Era I,8,5,9,Diosa · Invocadora,ENFRENTAMIENTO: Destruye a tu mortal; gana P igual a su poder máximo.,,GDM/Aztecas/Coatlicue.png,
0070,Kadru,Azteca,Personaje,Era I,2,1,2,Criatura,ENFRENTAMIENTO: Gana 1P.,,GDM/Aztecas/Kadru.png,
0071,Acampichtli,Azteca,Personaje,Era I,4,2,4,Invocador,ENFRENTAMIENTO: Prepara a tu personaje Azteca.,,GDM/Aztecas/Acampichtli.png,
0072,Xochiquetzal,Azteca,Personaje,Era I,6,3,7,Diosa,ENFRENTAMIENTO: Elimina 1P de Xochiquetzal; destruye un equipo.,,GDM/Aztecas/Xochiquetzal.png,
0073,Xiuhtecuhtli,Azteca,Personaje,Era I,6,4,8,Dios · Guerrero · Fuego,INFLUENCIA: Elimina 1P de un personaje enemigo; gana 1P en tu personaje azteca.,,GDM/Aztecas/Xiuhtecuhtli.png,
0074,Quetzalcóatl,Azteca,Personaje,Era I,4,2,6,Dios,INFLUENCIA: Elimina 1P de Quetzakcóatl; roba una carta.,,GDM/Aztecas/Quetzalcóatl.png,
0075,Tlazolteotl,Azteca,Personaje,Era I,5,2,7,Diosa,"ENFRENTAMIENTO: Elimina 1P de Tlazolteotl, da a cada una de las personalidades en el campo de batalla -1F.",,GDM/Aztecas/Tlazolteotl.png,
0076,Ueman,Azteca,Personaje,Era I,1,1,3,Guerrero · Águila,,,GDM/Aztecas/Ueman.png,
0077,Ocelotl,Azteca,Personaje,Era I,3,1,3,Guerrero · Jaguar,ENFRENTAMIENTO: Prepara a Ocelotl (Puede usarse si está cansado).,,GDM/Aztecas/Ocelotl.png,
0078,Tlaloc,Azteca,Personaje,Era I,3,0,5,Demonio · Trueno · Tierra,ENFRENTAMIENTO: Cansa a un personaje enemigo.,,GDM/Aztecas/Tlaloc.png,
0079,Ollin,Azteca,Personaje,Era I,2,0,4,Invocador · Chaman,ENFRENTAMIENTO: Gana 1P en tu personaje azteca.,,GDM/Aztecas/Ollin.png,
0080,Nut,Egipcia,Panteón,Era I,,,18,,INFLUENCIA: Pon debajo de uno de tus oráculos un evento descartado de otro jugador. (La próxima vez que sea descartado vuelve al descarte de su propietario).,,GDM/Egipcios/Nut.png,
0081,Duat,Egipcia,Panteón,Era I,,,19,,INFLUENCIA: Elimina 2P; descarta todas las cartas de un oráculo de un jugador con igual o mayor número de oráculos que tu.,,GDM/Egipcios/Duat.png,
0082,Ra,Egipcia,Personaje,Era I,8,5,9,Dios · Sol · Invocador,INFLUENCIA: Cansa y agota a tu mortal; da a Ra tanto P y F como poder has eliminado de tu mortal.,,GDM/Egipcios/Ra.png,
0083,Carnófago,Egipcia,Personaje,Era I,4,2,4,Criatura,"ENFRENTAMIENTO: Agota a carnofago; crea tantos personajes (""Criatura"" 1F/0PM/1P) como poder eliminaste. Destrúyelos al final del enfrentamiento.",,GDM/Egipcios/Carnófago.png,
0084,Cleopatra,Egipcia,Personaje,Era I,3,0,5,Reina,INFLUENCIA: Gana 1P en tu personaje.,,GDM/Egipcios/Cleopatra.png,
0085,Rey Escorpión,Egipcia,Personaje,Era I,4,2,6,Guerrero · Constructor,"ENFRENTAMIENTO: Dale +1F por cada recurso en tu panteón, máximo 3.",,GDM/Egipcios/Rey Escorpión.png,
0086,Anubis,Egipcia,Personaje,Era I,6,3,6,Dios · Demonio,INFLUENCIA: Cansa una invocación.,,GDM/Egipcios/Anubis.png,
0087,Seth,Egipcia,Personaje,Era I,7,3,9,Dios · Demonio,INFLUENCIA: Cansa un recurso enemigo.,,GDM/Egipcios/Seth.png,
0088,Isis,Egipcia,Personaje,Era I,6,3,8,Dios · Invocadora,INFLUENCIA: Elimina 1P (de tu reserva); elimina 1P de las reservas contrarias.,,GDM/Egipcios/Isis.png,
0089,Horus,Egipcia,Personaje,Era I,5,3,7,Dios · Guerrero,ENFRENTAMIENTO: Elimina 2P de un personaje.,,GDM/Egipcios/Horus.png,
0090,Hator,Egipcia,Personaje,Era I,4,2,6,Diosa · Invocadora,ENFRENTAMIENTO: Agota a Hator; gana tantos P como eliminastes repartidos entre los personajes de tu ejército.,,GDM/Egipcios/Hator.png,
0091,Thot,Egipcia,Personaje,Era I,5,3,7,Dios · Alquimista · Constructor,INFLUENCIA: Elimina 1P de Thot; gana 2P en un recurso en tu oráculo.,,GDM/Egipcios/Thot.png,
0092,Upuat,Egipcia,Personaje,Era I,5,3,7,Dios · Guerrero,"ENFRENTAMIENTO: Elimina 1P de Upuat; mueve un personaje al campo de batalla, en este momento su controlador debe decidir que ejercito lo controla.",,GDM/Egipcios/Upuat.png,
0093,Bastet,Egipcia,Personaje,Era I,5,2,7,Diosa,INFLUENCIA: Elimina hasta 2P de un oráculo.,,GDM/Egipcios/Bastet.png,
0094,Osiris,Egipcia,Personaje,Era I,7,4,9,Dios,INFLUENCIA: Elimina 1P de Osiris; mueve a tu panteón un mortal en un oráculo.,,GDM/Egipcios/Osiris.png,
0095,Ramses II,Egipcia,Personaje,Era I,6,3,7,Dios · Faraón,ENFRENTAMIENTO: Elimina 1P de todos los personajes con menos PM que Ramsés II.,,GDM/Egipcios/Ramses II.png,
0096,Imhotep,Egipcia,Personaje,Era I,3,1,4,Invocador · Constructor,"INFLUENCIA: Gana 1P en Imhotep por cada recurso en tu panteón, máximo 3.",,GDM/Egipcios/Imhotep.png,
0097,Milo,Egipcia,Personaje,Era I,0,0,2,Invocador · Esclavo,,,GDM/Egipcios/Milo.png,
0098,Nitocris,Egipcia,Personaje,Era I,1,1,3,Reina · Invocadora,,,GDM/Egipcios/Nitocris.png,
0099,Tutankamón,Egipcia,Personaje,Era I,4,2,6,Guerrero · Faraón,INFLUENCIA: Mira la primera carta de un oráculo; si es un evento descártala.,,GDM/Egipcios/Tutankamón.png,
0100,R'lyeh,Primigenia,Panteón,Era I,,,18,,INFLUENCIA: Crea un Sectario - Loco 0F/0P/1PM,,GDM/Primigenios/R'lyeh.png,
0101,k'nyan,Primigenia,Panteón,Era I,,,19,,INFLUENCIA: Cansa un recurso contrario.,,GDM/Primigenios/k'nyan.png,
0102,Cthulhu,Primigenia,Personaje,Era I,8,5,9,Dios · Primigenio,INFLUENCIA: Destruye tu mortal; elimina permanente el texto de un panteón.,,GDM/Primigenios/Cthulhu.png,
0103,Yig,Primigenia,Personaje,Era I,8,4,9,Dios · Primigenio,INFLUENCIA: Destruye tu mortal; elimina permanentemente una habilidad de una invocación.,,GDM/Primigenios/Yig.png,
0104,Yogg-sothot,Primigenia,Personaje,Era I,8,5,9,Dios · Primigenio,INFLUENCIA: Destruye tu mortal; elimina permanentemente una habilidad de un personaje.,,GDM/Primigenios/Yogg-sothot.png,
0105,Azathoth,Primigenia,Personaje,Era I,8,5,9,Dios · Primigenio,INFLUENCIA: Destruye tu mortal; destruye un equipo que no sea invocación.,,GDM/Primigenios/Azathoth.png,
0106,Hastur,Primigenia,Personaje,Era I,5,2,7,Dios · Primigenio,INFLUENCIA: Cansa un personaje con la clave Demonio o Primigenio.,,GDM/Primigenios/Hastur.png,
0107,Byakhee,Primigenia,Personaje,Era I,3,2,5,Monstruo,INFLUENCIA: Da -1F a un personaje con la clave Dios.,,GDM/Primigenios/Byakhee.png,
0108,Shub-niggurath,Primigenia,Personaje,Era I,7,4,9,Dios · Primigenio,INFLUENCIA: Destruye tu mortal; elimina permanentemente una habilidad de un recurso.,,GDM/Primigenios/Shub-niggurath.png,
0109,Cthonian,Primigenia,Personaje,Era I,4,2,6,Monstruo,INFLUENCIA: Gana 1P en un personaje en tu oráculo con la clave Primigenio.,,GDM/Primigenios/Cthonian.png,
0110,Olaus Wormius,Primigenia,Personaje,Era I,3,1,3,Loco · Invocador,INFLUENCIA: La proxima vez que equipes este turno reduce el coste en 1P,,GDM/Primigenios/Olaus Wormius.png,
0111,Wylbur,Primigenia,Personaje,Era I,4,1,6,Loco · Invocador,INFLUENCIA: Prepara un personaje con la clave Criatura.,,GDM/Primigenios/Wylbur.png,
0112,Howard,Primigenia,Personaje,Era I,0,0,1,Invocador,Howard puede equiparse invocaciones como si tuviera +3PM.,,GDM/Primigenios/Howard.png,
0113,Antonio,Primigenia,Personaje,Era I,0,0,2,Loco · Invocador,,,GDM/Primigenios/Antonio.png,
0114,Dagon,Primigenia,Personaje,Era I,2,3,2,Criatura,,,GDM/Primigenios/Dagon.png,
0115,Ithaqua,Primigenia,Personaje,Era I,3,1,5,Dios · Primigenio,ENFRENTAMIENTO: Elimina 1P de Ithaqua; mueve a tu personaje al campo de batalla.,,GDM/Primigenios/Ithaqua.png,
0116,Ángel Descarnado,Primigenia,Personaje,Era I,4,2,5,Monstruo,ENFRENTAMIENTO: Da +1F a todos tus personajes con las clave Loco.,,GDM/Primigenios/Ángel Descarnado.png,
0117,Randolf Carter,Primigenia,Personaje,Era I,1,1,3,Loco · Soñador,,,GDM/Primigenios/Randolf Carter.png,
0118,Horror de Dunwich,Primigenia,Personaje,Era I,6,3,6,Criatura,ENFRENTAMIENTO: Destruye un mortal agotado; gana +1F en Horror de Dunwich.,,GDM/Primigenios/Horror de Dunwich.png,
0119,Uphellaa,,Evento,Era I,,,,Festival,Da +1F a todos tus guerreros hasta el final de turno.,,GDM/Eventos/Uphellaa.png,
0120,El fin de la era de los dioses,,Evento,Era I,,,,,Este turno no se puede usar las habilidades de los personajes con la clave Dios.,,GDM/Eventos/El fin de la era de los dioses.png,
0121,Invocando a los tíndalos,,Evento,Era I,,,,,Elimina todas las claves (excepto Dios) de los personajes en panteones y oráculos hasta final de turno. Todos ganan la clave Loco.,,GDM/Eventos/Invocando a los tíndalos.png,
0122,Invasión Primigenia,,Evento,Era I,,,,,Este turno no se pueden usar las habilidades de los personajes mortales.,,GDM/Eventos/Invasión Primigenia.png,
0123,El Rastro,,Evento,Era I,,,,,Este turno no se puede jugar las habilidades de los equipos.,,GDM/Eventos/El Rastro.png,
0124,Luces del norte,,Evento,Era I,,,,Festival,Después de revelar tus oráculos gana 2P en tu personaje en un oráculo.,,GDM/Eventos/Luces del norte.png,
0125,La caída de Innsmouth,,Evento,Era I,,,,Único,Cansa todos los personajes con PM 2 o menos.,,GDM/Eventos/La caída de Innsmouth.png,
0126,Shogatsu,,Evento,Era I,,,,Festival,Gana 1P en cada uno de tus personajes en juego.,,GDM/Eventos/Shogatsu.png,
0127,Hinamatsuri,,Evento,Era I,,,,Festival,Gana 3P,,GDM/Eventos/Hinamatsuri.png,
0128,Ritual del fuego nuevo,,Evento,Era I,,,,Plaga,Elimina todos los puntos de poder de tu personaje; gana tantos puntos como eliminaste.,,GDM/Eventos/Ritual del fuego nuevo.png,
0129,Obon,,Evento,Era I,,,,Festival,Tu personaje en juego gana tantos puntos de poder como sean necesarios para llegar a su poder máximo.,,GDM/Eventos/Obon.png,
0130,Cataclismo de Deucalion,,Evento,Era I,,,,Plaga,Da -1F a todos los personajes en juego hasta el final de turno.,,GDM/Eventos/Cataclismo de Deucalion.png,
0131,El vínculo,,Evento,Era I,,,,,Este turno los personajes mortales no pueden ser destruidos.,,GDM/Eventos/El vínculo.png,
0132,Panateneas,,Evento,Era I,,,,Festival,Cansa a dos personajes que pertenezcan a mitologías diferentes.,,GDM/Eventos/Panateneas.png,
0133,El Fin de la era del hombre,,Evento,Era I,,,,Cataclismo · Único,Destruye a tu personaje en tu panteón; roba tantas cartas como su poder máximo.,,GDM/Eventos/El Fin de la era del hombre.png,
0134,La plaga de Atenas,,Evento,Era I,,,,Plaga,Cansa todos los recursos en juego.,,GDM/Eventos/La plaga de Atenas.png,
0135,Tozoztontli,,Evento,Era I,,,,Festival,Destruye a un mortal en juego.,,GDM/Eventos/Tozoztontli.png,
0136,Tonalpohualli,,Evento,Era I,,,,Festival,Elimina 1P de tus personajes en juego; gana tanto poder como eliminaste.,,GDM/Eventos/Tonalpohualli.png,
0137,Peret,,Evento,Era I,,,,Festival,Después de revelar tus oráculos gana 2P en un recurso en un oráculo.,,GDM/Eventos/Peret.png,
0138,Baño de Cleopatra,,Evento,Era I,,,,Festival,Cansa a un dios y  dale +2P.,,GDM/Eventos/Baño de Cleopatra.png,
0139,Ragnarok,,Evento,Era I,,,,Plaga,Elimina 1P en cada uno de los personajes en juego.,,GDM/Eventos/Ragnarok.png,
0140,Akher,,Evento,Era I,,,,Festival,Busca un recurso en este oráculo; descarta este evento; baraja de nuevo el oráculo; dejando encima el recurso revelado.,,GDM/Eventos/Akher.png,
0141,Shemu,,Evento,Era I,,,,Festival,Todos los jugadores eliminan 1P.,,GDM/Eventos/Shemu.png,
0142,Laberintos de maíz,,Recurso,Era I,2,,,,EFRENTAMIENTO: Cansa Laberintos de maíz; ekunuba 1P de un personaje enemigo.,,GDM/Recursos/Laberintos de maíz.png,
0143,Altar de sacrificio,,Recurso,Era I,1,,,,INFLUENCIA: Cansa Altar de Sacrificio; da -1F a un personaje enemigo.,,GDM/Recursos/Altar de sacrificio.png,
0144,Norna,,Recurso,Era I,2,,,Vidente,INFLUENCIA: Cansa Norna; roba una carta.,,GDM/Recursos/Norna.png,
0145,Templo Jinja,Japonesa,Recurso,Era I,3,,,Templo · Japonés · Único,INFLUENCIA: Cansa Templo Jinja; elimina 2P de un personaje.,,GDM/Recursos/Templo Jinja.png,
0146,Pozo de Urd,Nórdica,Recurso,Era I,3,,,Nórdico ·Único,"INFLUENCIA: Cansa Pozo de urd, descarta una carta; roba dos cartas.",,GDM/Recursos/Pozo de Urd.png,
0147,Laberinto de creta,,Recurso,Era I,1,,,,ENFRENTAMIENTO: Cansa Laberinto de Creta; elimina 1P de un personaje enemigo.,,GDM/Recursos/Laberinto de creta.png,
0148,El Partenón,,Recurso,Era I,1,,,,INFLUENCIA: Cansa El Partenón; destruye un equipo de tu personaje; gana poder igual al coste del equipo destruido.,,GDM/Recursos/El Partenón.png,
0149,Templo Shitennoji,,Recurso,Era I,3,,,Templo,INFLUENCIA: Cansa Templo Shitennoji; gana 2P.,,GDM/Recursos/Templo Shitennoji.png,
